ts,side,qty,price,notional,fee
2024-08-20 00:20:00+00:00,BUY,1.670528,59860.73,99999.02556544001,0.9999902556544001
2024-08-20 13:20:00+00:00,SELL,1.670528,60533.45,101122.8231616,1.011228231616
2024-08-21 12:40:00+00:00,BUY,1.697461,59571.77,101120.75627597,1.0112075627597
2024-08-21 13:40:00+00:00,SELL,1.697461,59029.19,100199.74788659,1.0019974788659
2024-08-22 04:45:00+00:00,BUY,1.648792,60770.39,100197.73286888,1.0019773286888
2024-08-22 13:35:00+00:00,SELL,1.648792,60753.34,100169.62096528,1.0016962096528002
2024-08-23 00:35:00+00:00,BUY,1.644115,60924.97,100167.65705155,1.0016765705155002
2024-08-23 11:35:00+00:00,SELL,1.644115,60753.79,99886.21744585,0.9988621744585
2024-08-23 12:45:00+00:00,BUY,1.633882,61133.07,99884.22267774,0.9988422267774002
2024-08-24 16:00:00+00:00,SELL,1.633882,64019.43,104600.19432726,1.0460019432726002
2024-08-24 16:05:00+00:00,BUY,1.632296,64080.36,104598.11530656,1.0459811530656
2024-08-24 21:25:00+00:00,SELL,1.632296,63998.07,104463.79366872,1.0446379366872
2024-08-25 13:30:00+00:00,BUY,1.627705,64177.29,104461.69581945,1.0446169581945002
2024-08-26 00:55:00+00:00,SELL,1.627705,64150.58,104418.2198189,1.044182198189
2024-08-30 07:25:00+00:00,BUY,1.75267,59575.46,104416.1214782,1.044161214782
2024-08-30 14:25:00+00:00,SELL,1.75267,59309.86,103950.6123262,1.0395061232620002
2024-08-30 18:55:00+00:00,BUY,1.751765,59339.3,103948.5088645,1.0394850886450002
2024-08-30 19:30:00+00:00,SELL,1.751765,58862.01,103112.40894765001,1.0311240894765001
2024-09-02 08:25:00+00:00,BUY,1.773722,58132.2,103110.3620484,1.031103620484
2024-09-03 06:50:00+00:00,SELL,1.773722,58897.19,104467.24164118001,1.0446724164118002
2024-09-04 14:50:00+00:00,BUY,1.818613,57442.22,104465.16804086001,1.0446516804086001
